concept_id,variety_id,orth,ipa,note
i,ami_nt,kaku,,2026學習詞表 02-02「我」
i,ami_hk,kako,,2026學習詞表 02-02「我」
i,ami_ha,kako,,2026學習詞表 02-02「我」
i,ami_ml,kako,,2026學習詞表 02-02「我」
i,ami_hc,kako,,"2026學習詞表 02-02「我」：主詞:kako, 依附詞 ako"
i,ata_sq,kun,,2026學習詞表 02-02「我」：kuzing/saku
i,ata_su,kuzing/kung,,2026學習詞表 02-02「我」
i,ata_ml,ikuwing/ kuwing/ cu/ ci,,2026學習詞表 02-02「我」
i,ata_pl,kung/ kuṟing,,2026學習詞表 02-02「我」
i,ata_sk,kingan,,2026學習詞表 02-02「我」：kingan(主格)
i,ata_kl,kinang/ knan/ kun/ kuzing/ kwing,,2026學習詞表 02-02「我」：kuzing(眉原)
i,say,yako,,2026學習詞表 02-02「我」：ya:o
i,tha,iaku,,2026學習詞表 02-02「我」
i,sed_to,yaku,,2026學習詞表 02-02「我」
i,sed_tg,yaku,,2026學習詞表 02-02「我」
i,sed_tr,yaku,,2026學習詞表 02-02「我」
i,bun_td,azak/caak/zaku,,2026學習詞表 02-02「我」：主格/屬格
i,bun_bh,azak,,2026學習詞表 02-02「我」：cak / zaku(主格) zaku(受格)
i,bun_vt,aak/zaku,,2026學習詞表 02-02「我」：主格aak/saak，受格 zaku
i,bun_bn,saak/zaku,,2026學習詞表 02-02「我」：azak(南投)
i,bun_ib,saikin,,2026學習詞表 02-02「我」：主-saikin/受-zaku
i,pai_es,tiaen,,2026學習詞表 02-02「我」
i,pai_nt,tiaken,,2026學習詞表 02-02「我」
i,pai_ct,tia’en,,2026學習詞表 02-02「我」
i,pai_st,tiaken/tia’en,,2026學習詞表 02-02「我」
i,ruk_es,konako,,2026學習詞表 02-02「我」
i,ruk_bd,kuaku,,2026學習詞表 02-02「我」
i,ruk_tw,kunaku,,2026學習詞表 02-02「我」
i,ruk_tn,kake,,2026學習詞表 02-02「我」
i,ruk_mg,kɨkɨ,,2026學習詞表 02-02「我」
i,ruk_mn,ilrae,,2026學習詞表 02-02「我」
i,puy_py,kuyku,,2026學習詞表 02-02「我」
i,puy_tp,inku,,2026學習詞表 02-02「我」
i,puy_ws,inku,,2026學習詞表 02-02「我」
i,puy_ks,inku,,2026學習詞表 02-02「我」
i,trv,yaku,,2026學習詞表 02-02「我」：主格/第一人稱
i,kav,aiku,,2026學習詞表 02-02「我」：主格
i,tso,aʼo,,2026學習詞表 02-02「我」
i,knv,iku,,2026學習詞表 02-02「我」
i,hla,ihlaku,,2026學習詞表 02-02「我」
i,yam,yaken,,2026學習詞表 02-02「我」
