concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
one,ami_nt,cacay,excel,01-01,一,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,5,,
two,ami_nt,tusa,excel,01-02,二,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,6,,
three,ami_nt,tulu,excel,01-03,三,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,7,,
four,ami_nt,sepat,excel,01-04,四,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,8,,
five,ami_nt,lima,excel,01-05,五,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,9,,
six,ami_nt,enem,excel,01-06,六,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,10,,
seven,ami_nt,pitu,excel,01-07,七,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,11,,
eight,ami_nt,walu,excel,01-08,八,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,12,,
nine,ami_nt,siwa,excel,01-09,九,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,13,,
ten,ami_nt,muktep/pulu’,excel,01-10,十,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,14,,
twenty,ami_nt,tusa a puluʼ,excel,01-20,二十,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,24,,
hundred,ami_nt,patekenan,excel,01-34,百,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,38,,
hundred,ami_nt,cacay a patekenan,excel,01-35,一百,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,39,,
some,ami_nt,hatini,excel,01-38,一些,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,42,,
all,ami_nt,amin,excel,01-43,全部,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,47,,
few,ami_nt,adidik,excel,01-44,一點點,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,48,,
you_singular,ami_nt,kisu,excel,02-01,你,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,51,,
i,ami_nt,kaku,excel,02-02,我,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,52,,
he,ami_nt,cira,excel,02-03,他,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,53,,
you_plural,ami_nt,kamu,excel,02-04,你們,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,54,,
we,ami_nt,kami,excel,02-05,我們,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,55,,
they,ami_nt,heni,excel,02-06,他們,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,56,,
we,ami_nt,kita,excel,02-13,我們(排除式),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,63,,
we,ami_nt,kami,excel,02-14,咱們(包含式),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,64,,
that,ami_nt,iraan,excel,02-16,那個,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,66,,
this,ami_nt,kiniyan,excel,02-17,這個,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,67,,
here,ami_nt,itini,excel,02-18,這裡,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,68,,
there,ami_nt,itila,excel,02-19,那裡,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,69,,
what,ami_nt,maan,excel,03-02,什麼,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,73,,
how,ami_nt,mamaan,excel,03-03,如何,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,74,,
when,ami_nt,a hacuwa,excel,03-04,何時(未發生),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,75,,
who,ami_nt,cima,excel,03-05,誰,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,76,,
where,ami_nt,icuwa,excel,03-07,哪裡,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,78,,
how,ami_nt,mamaan,excel,03-09,怎麼,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,80,,
where,ami_nt,icuwa,excel,03-12,什麼地方,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,83,,
when,ami_nt,nahacuwa,excel,03-13,何時(已發生),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,84,,
father,ami_nt,ama,excel,04-01,爸爸,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,87,,
mother,ami_nt,ina,excel,04-02,媽媽,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,88,,
wife,ami_nt,ramud,excel,04-07,配偶,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,93,,
husband,ami_nt,ramud,excel,04-07,配偶,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,93,,
husband,ami_nt,vavainay,excel,04-15,丈夫,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,101,,
name,ami_nt,ngangan,excel,05-01,名字,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,114,,
child,ami_nt,wawa,excel,05-05,孩童,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,118,,
woman,ami_nt,vavahi,excel,05-07,女性,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,120,,
man,ami_nt,vavainay,excel,05-08,男性,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,121,,
person,ami_nt,tamdaw,excel,05-09,人,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,122,,
ear,ami_nt,tangila,excel,06-01,耳朵,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,140,,
leg,ami_nt,cepiʼ,excel,06-02,大腿,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,141,,
eye,ami_nt,mata,excel,06-03,眼睛,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,142,,
